metaanalysisid,Descr,Value
194,AICC (smaller is better),199.8
194,BIC (smaller is better),173.6
195,-2 Log Likelihood,148.0
195,AIC (smaller is better),160.0
195,AICC (smaller is better),188.0
195,BIC (smaller is better),161.8
196,-2 Log Likelihood,253.3
196,AIC (smaller is better),265.3
196,AICC (smaller is better),293.3
196,BIC (smaller is better),267.2
197,-2 Log Likelihood,153.0
197,AIC (smaller is better),165.0
197,AICC (smaller is better),193.0
197,BIC (smaller is better),166.8
198,-2 Log Likelihood,118.2
198,AIC (smaller is better),130.2
198,AICC (smaller is better),158.2
198,BIC (smaller is better),132.0
199,-2 Log Likelihood,128.8
199,AIC (smaller is better),140.8
199,AICC (smaller is better),168.8
199,BIC (smaller is better),142.6
200,-2 Log Likelihood,77.8
200,AIC (smaller is better),89.8
200,AICC (smaller is better),117.8
200,BIC (smaller is better),91.6
201,-2 Log Likelihood,248.3
201,AIC (smaller is better),260.3
201,AICC (smaller is better),288.3
201,BIC (smaller is better),262.2
202,-2 Log Likelihood,238.9
202,AIC (smaller is better),250.9
202,AICC (smaller is better),278.9
202,BIC (smaller is better),252.7
203,-2 Log Likelihood,205.4
203,AIC (smaller is better),217.4
203,AICC (smaller is better),245.4
203,BIC (smaller is better),219.2
204,-2 Log Likelihood,185.7
204,AIC (smaller is better),197.7
204,AICC (smaller is better),225.7
204,BIC (smaller is better),199.5
205,-2 Log Likelihood,120.5
205,AIC (smaller is better),132.5
205,AICC (smaller is better),160.5
205,BIC (smaller is better),134.3
206,-2 Log Likelihood,197.6
206,AIC (smaller is better),209.6
206,AICC (smaller is better),237.6
206,BIC (smaller is better),211.5
207,-2 Log Likelihood,195.9
207,AIC (smaller is better),207.9
207,AICC (smaller is better),235.9
207,BIC (smaller is better),209.7
208,-2 Log Likelihood,231.8
208,AIC (smaller is better),243.8
208,AICC (smaller is better),271.8
208,BIC (smaller is better),245.6
210,-2 Log Likelihood,192.8
210,AIC (smaller is better),204.8
210,AICC (smaller is better),232.8
210,BIC (smaller is better),206.6
211,-2 Log Likelihood,194.0
211,AIC (smaller is better),206.0
211,AICC (smaller is better),234.0
211,BIC (smaller is better),207.8
212,-2 Log Likelihood,136.8
212,AIC (smaller is better),148.8
212,AICC (smaller is better),176.8
212,BIC (smaller is better),150.6
214,-2 Log Likelihood,137.1
214,AIC (smaller is better),149.1
214,AICC (smaller is better),177.1
214,BIC (smaller is better),151.0
215,-2 Log Likelihood,268.2
215,AIC (smaller is better),280.2
215,AICC (smaller is better),308.2
215,BIC (smaller is better),282.0
216,-2 Log Likelihood,255.6
216,AIC (smaller is better),267.6
216,AICC (smaller is better),295.6
216,BIC (smaller is better),269.4
217,-2 Log Likelihood,218.8
217,AIC (smaller is better),230.8
217,AICC (smaller is better),258.8
217,BIC (smaller is better),232.6
218,-2 Log Likelihood,245.4
218,AIC (smaller is better),257.4
218,AICC (smaller is better),285.4
218,BIC (smaller is better),259.2
219,-2 Log Likelihood,93.1
219,AIC (smaller is better),105.1
219,AICC (smaller is better),133.1
219,BIC (smaller is better),107.0
220,-2 Log Likelihood,127.8
220,AIC (smaller is better),139.8
220,AICC (smaller is better),167.8
220,BIC (smaller is better),141.6
221,-2 Log Likelihood,152.0
221,AIC (smaller is better),164.0
221,AICC (smaller is better),192.0
221,BIC (smaller is better),165.8
222,-2 Log Likelihood,224.0
222,AIC (smaller is better),236.0
222,AICC (smaller is better),264.0
222,BIC (smaller is better),237.8
223,-2 Log Likelihood,207.0
223,AIC (smaller is better),219.0
223,AICC (smaller is better),247.0
223,BIC (smaller is better),220.8
224,-2 Log Likelihood,123.9
224,AIC (smaller is better),135.9
224,AICC (smaller is better),163.9
224,BIC (smaller is better),137.7
225,-2 Log Likelihood,118.9
225,AIC (smaller is better),130.9
225,AICC (smaller is better),158.9
225,BIC (smaller is better),132.7
226,-2 Log Likelihood,129.7
226,AIC (smaller is better),141.7
226,AICC (smaller is better),169.7
226,BIC (smaller is better),143.5
227,-2 Log Likelihood,187.7
227,AIC (smaller is better),199.7
227,AICC (smaller is better),227.7
227,BIC (smaller is better),201.5
