metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
3959,sig2,-1.5634,1.2779,1000,-1.22,0.2215,0.05,-4.0712,0.9444,0.003752
3959,fz,5.8173,,1000,,,0.05,,,-0.00002
4004,logitpi,-2.5160,,1000,,,0.05,,,1.42976
4004,beta1,-2.3216,0,1000,I,<.0001,0.05,M,I,-31.2709
4004,sig1,0.9236,0,1000,I,<.0001,0.05,M,I,-4.97E81
4004,beta2,-2.0674,0,1000,I,<.0001,0.05,M,I,27.8795
4004,sig2,1.1206,0,1000,I,<.0001,0.05,M,I,25.7007
4004,fz,6.4219,0,1000,I,<.0001,0.05,M,I,0.009186
4151,logitpi,-9.5286,97.6980,1000,-0.10,0.9223,0.05,-201.25,182.19,0.000107
4151,beta1,-3.7500,0.3893,1000,-9.63,<.0001,0.05,-4.5139,-2.9860,0.000029
4151,sig1,-0.06045,0.3753,1000,-0.16,0.8721,0.05,-0.7969,0.6761,-0.00003
4151,beta2,-4.6945,0.5508,1000,-8.52,<.0001,0.05,-5.7753,-3.6138,-4.82E-6
4151,sig2,-0.07599,0.5397,1000,-0.14,0.8881,0.05,-1.1352,0.9832,0.000050
4151,fz,1.2561,1.4016,1000,0.90,0.3704,0.05,-1.4943,4.0065,0.000019
4154,logitpi,-13.7763,530.75,1000,-0.03,0.9793,0.05,-1055.29,1027.73,8.387E-7
4154,beta1,-3.8158,0.4271,1000,-8.93,<.0001,0.05,-4.6540,-2.9776,-0.00005
4154,sig1,0.02272,0.3809,1000,0.06,0.9524,0.05,-0.7248,0.7702,-0.00005
4154,beta2,-4.5788,0.5340,1000,-8.57,<.0001,0.05,-5.6267,-3.5308,0.000083
4154,sig2,-0.1306,0.5679,1000,-0.23,0.8182,0.05,-1.2450,0.9838,-0.00003
4154,fz,1.3672,1.6566,1000,0.83,0.4094,0.05,-1.8835,4.6179,-3.45E-6
4586,logitpi,-1.4098,0.5633,1000,-2.50,0.0125,0.05,-2.5152,-0.3044,-0.00246
4586,beta1,-1.5178,0.2352,1000,-6.45,<.0001,0.05,-1.9792,-1.0563,-0.08326
4586,sig1,-0.2465,0.2378,1000,-1.04,0.3001,0.05,-0.7131,0.2201,-0.07403
4586,beta2,-1.7150,0.2363,1000,-7.26,<.0001,0.05,-2.1786,-1.2514,0.12431
4586,sig2,-0.2525,0.2420,1000,-1.04,0.2971,0.05,-0.7274,0.2224,0.068538
4586,fz,6.0808,11.6345,1000,0.52,0.6013,0.05,-16.7499,28.9116,-0.00071
4994,logitpi,-10.8812,,1000,,,0.05,,,0.000177
4994,beta1,-2.6671,,1000,,,0.05,,,2.607E81
4994,sig1,-0.02768,,1000,,,0.05,,,-9.3E81
4994,beta2,-2.1935,,1000,,,0.05,,,-2.99E81
4994,sig2,-0.01227,,1000,,,0.05,,,0
4994,fz,6.7051,0,1000,I,<.0001,0.05,M,I,-1.24E81
5654,logitpi,-1.6241,1.3019,1000,-1.25,0.2125,0.05,-4.1788,0.9306,-7.28E-6
