metaanalysisid,Descr,Value
139,BIC (smaller is better),279.8
140,-2 Log Likelihood,120.1
140,AIC (smaller is better),130.1
140,AICC (smaller is better),145.1
140,BIC (smaller is better),131.6
141,-2 Log Likelihood,168.6
141,AIC (smaller is better),178.6
141,AICC (smaller is better),193.6
141,BIC (smaller is better),180.1
142,-2 Log Likelihood,155.1
142,AIC (smaller is better),165.1
142,AICC (smaller is better),180.1
142,BIC (smaller is better),166.6
143,-2 Log Likelihood,336.3
143,AIC (smaller is better),346.3
143,AICC (smaller is better),361.3
143,BIC (smaller is better),347.9
144,-2 Log Likelihood,330.5
144,AIC (smaller is better),340.5
144,AICC (smaller is better),355.5
144,BIC (smaller is better),342.0
145,-2 Log Likelihood,214.2
145,AIC (smaller is better),224.2
145,AICC (smaller is better),239.2
145,BIC (smaller is better),225.7
146,-2 Log Likelihood,71.5
146,AIC (smaller is better),81.5
146,AICC (smaller is better),96.5
146,BIC (smaller is better),83.0
147,-2 Log Likelihood,161.7
147,AIC (smaller is better),171.7
147,AICC (smaller is better),186.7
147,BIC (smaller is better),173.2
148,-2 Log Likelihood,205.4
148,AIC (smaller is better),215.4
148,AICC (smaller is better),230.4
148,BIC (smaller is better),216.9
149,-2 Log Likelihood,118.9
149,AIC (smaller is better),128.9
149,AICC (smaller is better),143.9
149,BIC (smaller is better),130.4
150,-2 Log Likelihood,177.7
150,AIC (smaller is better),187.7
150,AICC (smaller is better),202.7
150,BIC (smaller is better),189.2
151,-2 Log Likelihood,144.4
151,AIC (smaller is better),154.4
151,AICC (smaller is better),169.4
151,BIC (smaller is better),155.9
152,-2 Log Likelihood,222.2
152,AIC (smaller is better),232.2
152,AICC (smaller is better),247.2
152,BIC (smaller is better),233.7
153,-2 Log Likelihood,116.9
153,AIC (smaller is better),126.9
153,AICC (smaller is better),141.9
153,BIC (smaller is better),128.4
154,-2 Log Likelihood,193.4
154,AIC (smaller is better),203.4
154,AICC (smaller is better),218.4
154,BIC (smaller is better),204.9
155,-2 Log Likelihood,206.9
155,AIC (smaller is better),216.9
155,AICC (smaller is better),231.9
155,BIC (smaller is better),218.4
156,-2 Log Likelihood,234.8
156,AIC (smaller is better),244.8
156,AICC (smaller is better),259.8
156,BIC (smaller is better),246.3
157,-2 Log Likelihood,225.0
157,AIC (smaller is better),235.0
157,AICC (smaller is better),250.0
157,BIC (smaller is better),236.5
158,-2 Log Likelihood,172.1
158,AIC (smaller is better),182.1
158,AICC (smaller is better),197.1
158,BIC (smaller is better),183.6
159,-2 Log Likelihood,163.8
159,AIC (smaller is better),173.8
159,AICC (smaller is better),188.8
159,BIC (smaller is better),175.4
160,-2 Log Likelihood,104.8
160,AIC (smaller is better),114.8
160,AICC (smaller is better),129.8
160,BIC (smaller is better),116.3
161,-2 Log Likelihood,254.6
161,AIC (smaller is better),264.6
161,AICC (smaller is better),279.6
161,BIC (smaller is better),266.1
162,-2 Log Likelihood,179.7
162,AIC (smaller is better),189.7
162,AICC (smaller is better),204.7
162,BIC (smaller is better),191.2
163,-2 Log Likelihood,175.6
163,AIC (smaller is better),185.6
163,AICC (smaller is better),200.6
163,BIC (smaller is better),187.1
164,-2 Log Likelihood,210.6
164,AIC (smaller is better),220.6
164,AICC (smaller is better),235.6
164,BIC (smaller is better),222.1
165,-2 Log Likelihood,157.7
165,AIC (smaller is better),167.7
165,AICC (smaller is better),182.7
165,BIC (smaller is better),169.2
166,-2 Log Likelihood,262.7
166,AIC (smaller is better),272.7
166,AICC (smaller is better),287.7
166,BIC (smaller is better),274.2
167,-2 Log Likelihood,258.7
167,AIC (smaller is better),268.7
167,AICC (smaller is better),283.7
