metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
6265,fz,4.9646,4.5120,1000,1.10,0.2715,0.05,-3.8894,13.8186,-0.02559
6517,beta1,-7.6618,0.5461,1000,-14.03,<.0001,0.05,-8.7334,-6.5902,0.000021
6517,sig1,-1.3855,2.6228,1000,-0.53,0.5974,0.05,-6.5324,3.7614,-9.71E-6
6517,beta2,-5.7678,0.2967,1000,-19.44,<.0001,0.05,-6.3500,-5.1856,-0.00004
6517,sig2,-0.2894,0.4450,1000,-0.65,0.5156,0.05,-1.1627,0.5839,0.000039
6517,fz,4.4131,,1000,,,0.05,,,-0.00004
6592,beta1,-6.6739,0,1000,I,<.0001,0.05,M,I,0
6592,sig1,2.9603,,1000,,,0.05,,,-2.41E81
6592,beta2,-5.4146,0,1000,I,<.0001,0.05,M,I,-6.76465
6592,sig2,0.3146,0,1000,I,<.0001,0.05,M,I,3.32587
6592,fz,5.4604,0,1000,I,<.0001,0.05,M,I,0.000665
6640,beta1,-7.3673,1.1874,1000,-6.20,<.0001,0.05,-9.6974,-5.0372,1.76889
6640,sig1,0.8498,0.9767,1000,0.87,0.3845,0.05,-1.0669,2.7664,0.37101
6640,beta2,-6.7089,4.0917,1000,-1.64,0.1014,0.05,-14.7383,1.3204,-0.51151
6640,sig2,1.5413,1.3531,1000,1.14,0.2550,0.05,-1.1140,4.1966,10.4381
6640,fz,5.3908,12.2388,1000,0.44,0.6597,0.05,-18.6260,29.4075,-0.00089
6660,beta1,-1.0885,0,1000,I,<.0001,0.05,M,I,-0.04280
6660,sig1,0.1556,0,1000,I,<.0001,0.05,M,I,0.039651
6660,beta2,-1.4785,0,1000,I,<.0001,0.05,M,I,0.022203
6660,sig2,-0.09037,0,1000,I,<.0001,0.05,M,I,0.019616
6660,fz,6.4051,,1000,,,0.05,,,-0.00003
6694,beta1,-7.8646,,1000,,,0.05,,,-0.99057
6694,sig1,0.6301,,1000,,,0.05,,,-0.21765
6694,beta2,-6.7211,,1000,,,0.05,,,0.55625
6694,sig2,1.5005,0.3979,1000,3.77,0.0002,0.05,0.7197,2.2813,7.42425
6694,fz,5.2476,39.3811,1000,0.13,0.8940,0.05,-72.0314,82.5266,-0.00016
6868,beta1,-3.9302,0.5043,1000,-7.79,<.0001,0.05,-4.9199,-2.9406,0.000302
6868,sig1,0.1524,0.3859,1000,0.39,0.6930,0.05,-0.6049,0.9097,-0.00008
6868,beta2,-3.0230,0.4692,1000,-6.44,<.0001,0.05,-3.9438,-2.1022,-0.00014
