metaanalysisid,Descr,Value
10618,AICC (smaller is better),236.0
10618,BIC (smaller is better),222.6
10619,-2 Log Likelihood,719.9
10619,AIC (smaller is better),729.9
10619,AICC (smaller is better),744.9
10619,BIC (smaller is better),731.4
10702,-2 Log Likelihood,421.5
10702,AIC (smaller is better),431.5
10702,AICC (smaller is better),440.1
10702,BIC (smaller is better),434.4
11367,-2 Log Likelihood,468.9
11367,AIC (smaller is better),478.9
11367,AICC (smaller is better),486.4
11367,BIC (smaller is better),482.1
11375,-2 Log Likelihood,389.1
11375,AIC (smaller is better),399.1
11375,AICC (smaller is better),407.7
11375,BIC (smaller is better),401.9
11545,-2 Log Likelihood,2923.7
11545,AIC (smaller is better),2933.7
11545,AICC (smaller is better),2945.7
11545,BIC (smaller is better),2935.6
11563,-2 Log Likelihood,1799.4
11563,AIC (smaller is better),1809.4
11563,AICC (smaller is better),1821.4
11563,BIC (smaller is better),1811.4
11564,-2 Log Likelihood,1297.4
11564,AIC (smaller is better),1307.4
11564,AICC (smaller is better),1319.4
11564,BIC (smaller is better),1309.4
11635,-2 Log Likelihood,1166.2
11635,AIC (smaller is better),1176.2
11635,AICC (smaller is better),1180.2
11635,BIC (smaller is better),1181.4
11661,-2 Log Likelihood,1245.6
11661,AIC (smaller is better),1255.6
11661,AICC (smaller is better),1260.6
11661,BIC (smaller is better),1260.1
11663,-2 Log Likelihood,1543.7
11663,AIC (smaller is better),1553.7
11663,AICC (smaller is better),1556.8
11663,BIC (smaller is better),1559.8
11939,-2 Log Likelihood,500.0
11939,AIC (smaller is better),510.0
11939,AICC (smaller is better),516.6
11939,BIC (smaller is better),513.5
11950,-2 Log Likelihood,171.2
11950,AIC (smaller is better),181.2
11950,AICC (smaller is better),189.7
11950,BIC (smaller is better),184.0
11951,-2 Log Likelihood,157.5
11951,AIC (smaller is better),167.5
11951,AICC (smaller is better),176.0
11951,BIC (smaller is better),170.3
12006,-2 Log Likelihood,1259.0
12006,AIC (smaller is better),1269.0
12006,AICC (smaller is better),1284.0
12006,BIC (smaller is better),1270.5
12020,-2 Log Likelihood,958.2
12020,AIC (smaller is better),968.2
12020,AICC (smaller is better),983.2
12020,BIC (smaller is better),969.7
12166,-2 Log Likelihood,345.9
12166,AIC (smaller is better),355.9
12166,AICC (smaller is better),363.4
12166,BIC (smaller is better),359.1
12167,-2 Log Likelihood,1255.5
12167,AIC (smaller is better),1265.5
12167,AICC (smaller is better),1267.4
12167,BIC (smaller is better),1273.6
12168,-2 Log Likelihood,318.2
12168,AIC (smaller is better),328.2
12168,AICC (smaller is better),336.8
12168,BIC (smaller is better),331.0
12433,-2 Log Likelihood,9216.9
12433,AIC (smaller is better),9226.9
12433,AICC (smaller is better),9230.6
12433,BIC (smaller is better),9232.3
12524,-2 Log Likelihood,728.1
12524,AIC (smaller is better),738.1
12524,AICC (smaller is better),745.6
12524,BIC (smaller is better),741.3
12935,-2 Log Likelihood,785.3
12935,AIC (smaller is better),795.3
12935,AICC (smaller is better),807.3
12935,BIC (smaller is better),797.3
12990,-2 Log Likelihood,445.2
12990,AIC (smaller is better),455.2
12990,AICC (smaller is better),467.2
12990,BIC (smaller is better),457.2
13113,-2 Log Likelihood,986.2
13113,AIC (smaller is better),996.2
13113,AICC (smaller is better),999.9
13113,BIC (smaller is better),1001.6
13380,-2 Log Likelihood,566.7
13380,AIC (smaller is better),576.7
13380,AICC (smaller is better),582.7
13380,BIC (smaller is better),580.5
13405,-2 Log Likelihood,432.3
13405,AIC (smaller is better),442.3
13405,AICC (smaller is better),457.3
13405,BIC (smaller is better),443.8
13503,-2 Log Likelihood,565.6
13503,AIC (smaller is better),575.6
13503,AICC (smaller is better),585.6
13503,BIC (smaller is better),578.0
13506,-2 Log Likelihood,947.9
13506,AIC (smaller is better),957.9
13506,AICC (smaller is better),964.5
13506,BIC (smaller is better),961.4
13587,-2 Log Likelihood,2363.4
13587,AIC (smaller is better),2373.4
13587,AICC (smaller is better),2383.4
13587,BIC (smaller is better),2375.8
13838,-2 Log Likelihood,847.4
13838,AIC (smaller is better),857.4
13838,AICC (smaller is better),867.4
13838,BIC (smaller is better),859.8
13839,-2 Log Likelihood,821.7
13839,AIC (smaller is better),831.7
13839,AICC (smaller is better),843.7
13839,BIC (smaller is better),833.6
14181,-2 Log Likelihood,6774.2
14181,AIC (smaller is better),6784.2
14181,AICC (smaller is better),6791.7
14181,BIC (smaller is better),6787.4
14519,-2 Log Likelihood,727.3
14519,AIC (smaller is better),737.3
14519,AICC (smaller is better),749.3
14519,BIC (smaller is better),739.3
14541,-2 Log Likelihood,370.1
14541,AIC (smaller is better),380.1
14541,AICC (smaller is better),392.1
14541,BIC (smaller is better),382.1
14682,-2 Log Likelihood,349.1
14682,AIC (smaller is better),359.1
14682,AICC (smaller is better),374.1
14682,BIC (smaller is better),360.6
14687,-2 Log Likelihood,589.5
14687,AIC (smaller is better),599.5
14687,AICC (smaller is better),611.5
14687,BIC (smaller is better),601.4
14693,-2 Log Likelihood,371.5
14693,AIC (smaller is better),381.5
14693,AICC (smaller is better),393.5
14693,BIC (smaller is better),383.5
14701,-2 Log Likelihood,317.8
14701,AIC (smaller is better),327.8
14701,AICC (smaller is better),342.8
14701,BIC (smaller is better),329.3
15080,-2 Log Likelihood,808.2
15080,AIC (smaller is better),818.2
15080,AICC (smaller is better),822.2
15080,BIC (smaller is better),823.5
15092,-2 Log Likelihood,771.1
15092,AIC (smaller is better),781.1
15092,AICC (smaller is better),791.1
15092,BIC (smaller is better),783.5
15104,-2 Log Likelihood,517.4
15104,AIC (smaller is better),527.4
15104,AICC (smaller is better),542.4
15104,BIC (smaller is better),529.0
15105,-2 Log Likelihood,261.1
15105,AIC (smaller is better),271.1
15105,AICC (smaller is better),281.1
15105,BIC (smaller is better),273.6
15296,-2 Log Likelihood,3503.5
15296,AIC (smaller is better),3513.5
15296,AICC (smaller is better),3516.0
15296,BIC (smaller is better),3520.5
15299,-2 Log Likelihood,1688.3
15299,AIC (smaller is better),1698.3
15299,AICC (smaller is better),1704.3
15299,BIC (smaller is better),1702.2
15308,-2 Log Likelihood,1435.0
15308,AIC (smaller is better),1445.0
15308,AICC (smaller is better),1453.6
15308,BIC (smaller is better),1447.9
15414,-2 Log Likelihood,1842.4
15414,AIC (smaller is better),1852.4
15414,AICC (smaller is better),1861.0
15414,BIC (smaller is better),1855.2
15437,-2 Log Likelihood,2282.0
15437,AIC (smaller is better),2292.0
15437,AICC (smaller is better),2296.6
15437,BIC (smaller is better),2296.7
15473,-2 Log Likelihood,232E75
15473,AIC (smaller is better),232E75
15473,AICC (smaller is better),232E75
15473,BIC (smaller is better),232E75
15474,-2 Log Likelihood,287.0
15474,AIC (smaller is better),297.0
15474,AICC (smaller is better),312.0
15474,BIC (smaller is better),298.6
15476,-2 Log Likelihood,608.2
15476,AIC (smaller is better),618.2
15476,AICC (smaller is better),628.2
15476,BIC (smaller is better),620.6
15479,-2 Log Likelihood,637.2
15479,AIC (smaller is better),647.2
15479,AICC (smaller is better),652.2
15479,BIC (smaller is better),651.6
15510,-2 Log Likelihood,2743.7
15510,AIC (smaller is better),2753.7
15510,AICC (smaller is better),2765.7
15510,BIC (smaller is better),2755.7
15734,-2 Log Likelihood,380.2
15734,AIC (smaller is better),390.2
15734,AICC (smaller is better),396.9
15734,BIC (smaller is better),393.8
15742,-2 Log Likelihood,454.5
15742,AIC (smaller is better),464.5
15742,AICC (smaller is better),472.0
15742,BIC (smaller is better),467.7
15744,-2 Log Likelihood,286.2
15744,AIC (smaller is better),296.2
15744,AICC (smaller is better),311.2
15744,BIC (smaller is better),297.7
15748,-2 Log Likelihood,296.7
15748,AIC (smaller is better),306.7
15748,AICC (smaller is better),321.7
15748,BIC (smaller is better),308.2
15761,-2 Log Likelihood,511.3
15761,AIC (smaller is better),521.3
15761,AICC (smaller is better),525.9
15761,BIC (smaller is better),526.0
15765,-2 Log Likelihood,496.9
15765,AIC (smaller is better),506.9
15765,AICC (smaller is better),511.5
15765,BIC (smaller is better),511.6
15771,-2 Log Likelihood,119.1
15771,AIC (smaller is better),129.1
15771,AICC (smaller is better),141.1
15771,BIC (smaller is better),131.1
15860,-2 Log Likelihood,2419.2
15860,AIC (smaller is better),2429.2
15860,AICC (smaller is better),2430.6
15860,BIC (smaller is better),2438.6
15861,-2 Log Likelihood,377.9
15861,AIC (smaller is better),387.9
15861,AICC (smaller is better),391.9
15861,BIC (smaller is better),393.2
15866,-2 Log Likelihood,483.0
15866,AIC (smaller is better),493.0
15866,AICC (smaller is better),499.0
15866,BIC (smaller is better),496.9
15876,-2 Log Likelihood,1203.0
15876,AIC (smaller is better),1213.0
15876,AICC (smaller is better),1215.9
15876,BIC (smaller is better),1219.5
15879,-2 Log Likelihood,1413.2
15879,AIC (smaller is better),1423.2
15879,AICC (smaller is better),1428.6
15879,BIC (smaller is better),1427.3
15885,-2 Log Likelihood,1355.7
15885,AIC (smaller is better),1365.7
15885,AICC (smaller is better),1370.3
15885,BIC (smaller is better),1370.4
15886,-2 Log Likelihood,1064.9
15886,AIC (smaller is better),1074.9
15886,AICC (smaller is better),1083.5
15886,BIC (smaller is better),1077.8
15909,-2 Log Likelihood,2354.7
15909,AIC (smaller is better),2364.7
15909,AICC (smaller is better),2366.2
15909,BIC (smaller is better),2373.8
15912,-2 Log Likelihood,304.8
15912,AIC (smaller is better),314.8
15912,AICC (smaller is better),319.8
15912,BIC (smaller is better),319.3
15962,-2 Log Likelihood,327.2
15962,AIC (smaller is better),337.2
15962,AICC (smaller is better),341.0
15962,BIC (smaller is better),342.7
15963,-2 Log Likelihood,231.6
15963,AIC (smaller is better),241.6
15963,AICC (smaller is better),247.6
15963,BIC (smaller is better),245.5
15965,-2 Log Likelihood,471.8
15965,AIC (smaller is better),481.8
15965,AICC (smaller is better),486.4
15965,BIC (smaller is better),486.5
15966,-2 Log Likelihood,208.1
15966,AIC (smaller is better),218.1
15966,AICC (smaller is better),233.1
15966,BIC (smaller is better),219.6
16073,-2 Log Likelihood,3902.9
16073,AIC (smaller is better),3912.9
16073,AICC (smaller is better),3918.9
16073,BIC (smaller is better),3916.8
16076,-2 Log Likelihood,6320.6
16076,AIC (smaller is better),6330.6
16076,AICC (smaller is better),6334.0
16076,BIC (smaller is better),6336.5
16103,-2 Log Likelihood,692.2
16103,AIC (smaller is better),702.2
16103,AICC (smaller is better),708.8
16103,BIC (smaller is better),705.7
16114,-2 Log Likelihood,491.6
16114,AIC (smaller is better),501.6
16114,AICC (smaller is better),513.6
16114,BIC (smaller is better),503.6
16115,-2 Log Likelihood,416.0
16115,AIC (smaller is better),426.0
16115,AICC (smaller is better),441.0
16115,BIC (smaller is better),427.5
16117,-2 Log Likelihood,692.2
16117,AIC (smaller is better),702.2
16117,AICC (smaller is better),708.8
16117,BIC (smaller is better),705.7
16118,-2 Log Likelihood,552.4
16118,AIC (smaller is better),562.4
16118,AICC (smaller is better),572.4
16118,BIC (smaller is better),564.8
16119,-2 Log Likelihood,692.2
16119,AIC (smaller is better),702.2
16119,AICC (smaller is better),708.8
16119,BIC (smaller is better),705.7
16319,-2 Log Likelihood,198.7
16319,AIC (smaller is better),208.7
16319,AICC (smaller is better),220.7
16319,BIC (smaller is better),210.7
17045,-2 Log Likelihood,1065.7
17045,AIC (smaller is better),1075.7
17045,AICC (smaller is better),1081.2
17045,BIC (smaller is better),1079.9
17102,-2 Log Likelihood,2792.2
17102,AIC (smaller is better),2802.2
17102,AICC (smaller is better),2804.9
17102,BIC (smaller is better),2808.8
17107,-2 Log Likelihood,1684.7
17107,AIC (smaller is better),1694.7
17107,AICC (smaller is better),1700.7
17107,BIC (smaller is better),1698.6
17110,-2 Log Likelihood,7288.9
17110,AIC (smaller is better),7298.9
17110,AICC (smaller is better),7300.5
17110,BIC (smaller is better),7307.6
17143,-2 Log Likelihood,1361.9
17143,AIC (smaller is better),1371.9
17143,AICC (smaller is better),1383.9
17143,BIC (smaller is better),1373.9
